2739	She never felt at ease in water, and when she thought about those hundreds of meters beneath her, it became frightening.
2740	So she kept glancing at the shore, barely raising her head from the water, and the figure of Ustym calmed her.
2741	He pretended he wasn't looking at her, but stood there and kept glancing the whole time.
2742	Water sat in Miyechka's ears.
2743	There was a roaring.
2744	From the quarry it was still a few hours' drive.
2745	— Do you feel how good it is here?
2746	— asked Miyechka.
2747	— Where?
2748	— Right here, in the car.
2749	— Of course, we washed off all the vomit, so right away it's good, — said Ustym, and then he smiled at her so warmly and so sadly that Miyechka had to turn away to the window, so as not to embitter this goodness spilled in the air with her self-pity.
2750	No happiness with him, not a single moment when it seemed that this was what made life worth living, could be lived all the way to the end.
2751	Over this relationship, which had come from nowhere, some sort of finiteness always loomed.
2752	Ustym drove Miyechka to the apple orchard.
2753	She got out of the car barefoot, laughing.
2754	For the last hour he had been telling her various student tales.
2755	They were always about large doses of alcohol and friendship, which, in the storyteller's own conviction, can exist only between men.
2756	Together they came up to the apple trees.
2757	Ustym repeated that it had to be uprooted.
2758	Ahead lay a hot day.
2759	Miyechka thought about why he was leaving, why she was staying here, why everything had ended so quickly, but she knew that if she said even one of these phrases aloud, she would burst into tears in an instant.
2760	So aloud she said only: 'Have a good day.'
